Date,Day,Month,Route_ID,Transport_Type,Passengers,Revenue,Weather,Temperature,Is_Weekend,Is_Holiday,Peak_Hour
01-01-2024,Monday,1,R4,Bus,51,1020,Rainy,35,0,0,0
01-01-2024,Monday,1,R2,Train,211,6330,Rainy,35,0,0,0
01-01-2024,Monday,1,R4,Train,199,5970,Sunny,26,0,0,0
01-01-2024,Monday,1,R2,Bus,210,4200,Cloudy,26,0,0,0
01-01-2024,Monday,1,R1,Bus,214,4280,Rainy,30,0,0,0
01-01-2024,Monday,1,R3,Train,380,11400,Sunny,33,0,1,0
01-01-2024,Monday,1,R5,Bus,216,4320,Cloudy,28,0,0,0
01-01-2024,Monday,1,R2,Metro,87,3480,Cloudy,34,0,0,1
01-01-2024,Monday,1,R4,Train,284,8520,Rainy,22,0,0,1
01-01-2024,Monday,1,R3,Metro,195,7800,Cloudy,16,0,0,1
01-01-2024,Monday,1,R2,Metro,324,12960,Rainy,26,0,0,1
01-01-2024,Monday,1,R2,Metro,239,9560,Cloudy,29,0,0,0
01-01-2024,Monday,1,R4,Bus,239,4780,Sunny,32,0,0,0
01-01-2024,Monday,1,R5,Metro,266,10640,Sunny,29,0,0,0
01-01-2024,Monday,1,R5,Bus,110,2200,Rainy,15,0,0,0
01-01-2024,Monday,1,R4,Train,150,4500,Rainy,17,0,0,0
01-01-2024,Monday,1,R3,Bus,172,3440,Sunny,23,0,0,0
01-01-2024,Monday,1,R4,Train,375,11250,Cloudy,37,0,0,1
01-01-2024,Monday,1,R5,Train,331,9930,Cloudy,15,0,0,1
01-01-2024,Monday,1,R3,Bus,336,6720,Cloudy,19,0,0,1
01-01-2024,Monday,1,R2,Train,297,8910,Rainy,29,0,1,1
01-01-2024,Monday,1,R2,Metro,173,6920,Sunny,21,0,0,0
01-01-2024,Monday,1,R1,Bus,145,2900,Cloudy,21,0,0,0
01-01-2024,Monday,1,R5,Train,220,6600,Sunny,21,0,0,0
02-01-2024,Tuesday,1,R3,Train,135,4050,Cloudy,39,0,0,0
02-01-2024,Tuesday,1,R5,Metro,77,3080,Cloudy,37,0,0,0
02-01-2024,Tuesday,1,R4,Bus,280,5600,Cloudy,39,0,0,0
02-01-2024,Tuesday,1,R3,Metro,170,6800,Sunny,21,0,0,0
02-01-2024,Tuesday,1,R3,Bus,111,2220,Sunny,24,0,0,0
02-01-2024,Tuesday,1,R4,Train,108,3240,Cloudy,38,0,0,0
02-01-2024,Tuesday,1,R1,Bus,111,2220,Sunny,26,0,0,0
02-01-2024,Tuesday,1,R2,Train,243,7290,Sunny,31,0,0,1
02-01-2024,Tuesday,1,R3,Bus,76,1520,Cloudy,37,0,0,1
02-01-2024,Tuesday,1,R5,Bus,213,4260,Rainy,35,0,0,1
02-01-2024,Tuesday,1,R4,Metro,313,12520,Cloudy,18,0,0,1
02-01-2024,Tuesday,1,R3,Train,155,4650,Rainy,19,0,0,0
02-01-2024,Tuesday,1,R4,Metro,247,9880,Cloudy,30,0,0,0
02-01-2024,Tuesday,1,R1,Bus,138,2760,Rainy,17,0,0,0
02-01-2024,Tuesday,1,R4,Train,170,5100,Rainy,33,0,0,0
02-01-2024,Tuesday,1,R4,Train,101,3030,Sunny,21,0,0,0
02-01-2024,Tuesday,1,R2,Bus,60,1200,Sunny,37,0,0,0
02-01-2024,Tuesday,1,R2,Train,84,2520,Cloudy,34,0,0,1
02-01-2024,Tuesday,1,R4,Bus,76,1520,Sunny,26,0,0,1
02-01-2024,Tuesday,1,R5,Bus,250,5000,Rainy,23,0,0,1
02-01-2024,Tuesday,1,R3,Train,116,3480,Rainy,36,0,0,1
02-01-2024,Tuesday,1,R1,Train,162,4860,Cloudy,17,0,0,0
02-01-2024,Tuesday,1,R1,Train,202,6060,Sunny,28,0,0,0
02-01-2024,Tuesday,1,R2,Metro,82,3280,Rainy,23,0,0,0
03-01-2024,Wednesday,1,R4,Bus,117,2340,Sunny,30,0,0,0
03-01-2024,Wednesday,1,R4,Train,244,7320,Sunny,30,0,0,0
03-01-2024,Wednesday,1,R4,Train,164,4920,Cloudy,28,0,0,0
03-01-2024,Wednesday,1,R5,Train,184,5520,Rainy,35,0,0,0
03-01-2024,Wednesday,1,R1,Train,241,7230,Sunny,30,0,0,0
03-01-2024,Wednesday,1,R3,Train,313,9390,Sunny,26,0,1,0
03-01-2024,Wednesday,1,R4,Metro,270,10800,Cloudy,17,0,0,0
03-01-2024,Wednesday,1,R4,Bus,129,2580,Sunny,35,0,0,1
03-01-2024,Wednesday,1,R3,Bus,198,3960,Rainy,37,0,0,1
03-01-2024,Wednesday,1,R1,Train,265,7950,Cloudy,36,0,0,1
03-01-2024,Wednesday,1,R2,Train,229,6870,Cloudy,29,0,0,1
03-01-2024,Wednesday,1,R2,Train,204,6120,Cloudy,31,0,0,0
03-01-2024,Wednesday,1,R1,Bus,92,1840,Cloudy,24,0,0,0
03-01-2024,Wednesday,1,R2,Train,99,2970,Sunny,21,0,0,0
03-01-2024,Wednesday,1,R1,Bus,69,1380,Sunny,28,0,0,0
03-01-2024,Wednesday,1,R4,Train,211,6330,Rainy,16,0,0,0
03-01-2024,Wednesday,1,R3,Bus,188,3760,Rainy,36,0,0,0
03-01-2024,Wednesday,1,R2,Metro,263,10520,Sunny,20,0,1,1
03-01-2024,Wednesday,1,R3,Bus,411,8220,Sunny,26,0,0,1
03-01-2024,Wednesday,1,R5,Train,367,11010,Cloudy,34,0,0,1
03-01-2024,Wednesday,1,R3,Train,325,9750,Sunny,24,0,0,1
03-01-2024,Wednesday,1,R3,Bus,135,2700,Rainy,37,0,0,0
03-01-2024,Wednesday,1,R2,Bus,267,5340,Sunny,23,0,0,0
03-01-2024,Wednesday,1,R4,Bus,178,3560,Cloudy,29,0,0,0
04-01-2024,Thursday,1,R2,Metro,167,6680,Sunny,35,0,0,0
04-01-2024,Thursday,1,R1,Bus,224,4480,Rainy,37,0,0,0
